time,open,high,low,close
2011-03-04 08:00:00,2175.17914872,2181.06939512,2159.91821073,2176.17011872
2011-03-07 08:00:00,2171.21526873,2176.17011872,2156.15252474,2158.72904673
2011-03-08 08:00:00,2178.54844672,2192.22383271,2175.17914872,2192.22383271
2011-03-09 08:00:00,2182.51232672,2187.86356472,2174.38637272,2180.43128972
2011-03-10 08:00:00,2157.14349473,2164.30226201,2143.07172074,2151.39586874
2011-03-11 08:00:00,2132.17105075,2150.99948074,2124.04509675,2145.25185474
2011-03-14 08:00:00,2148.02657074,2160.56836633,2134.94576675,2137.81957975
2011-03-15 08:00:00,2115.12636676,2118.49566476,2065.97425479,2107.19860676
2011-03-16 08:00:00,2116.71191876,2128.77004171,2100.65820477,2104.12659977
2011-03-17 08:00:00,2095.70335477,2108.38777076,2086.19004278,2096.00064577
2011-03-18 08:00:00,2104.02750277,2116.55336356,2098.87445877,2105.41486077
2011-03-21 08:00:00,2124.63967875,2136.53131875,2120.27941076,2131.97285675
2011-03-22 08:00:00,2127.21620075,2129.59452875,2114.84881588,2118.69385876
2011-03-23 08:00:00,2134.94576675,2159.91821073,2129.25910523,2159.91821073
2011-03-24 08:00:00,2180.53038672,2209.2685167,2169.60030474,2209.2685167
2011-03-25 08:00:00,2215.8089187,2234.43915469,2209.6426277,2233.44818469
2011-03-28 07:00:00,2214.6197547,2231.82299389,2214.6197547,2222.1511267
2011-03-29 07:00:00,2219.7727987,2258.32945944,2219.7727987,2238.79942269
2011-03-30 07:00:00,2253.46577868,2278.37876446,2241.49478181,2264.76283667
2011-03-31 07:00:00,2254.65494268,2285.77140066,2254.65494268,2273.68156667
2011-04-01 07:00:00,2287.75334066,2321.24812664,2286.96056466,2318.07702264
2011-04-04 07:00:00,2311.33842664,2320.45535064,2306.58177065,2320.15805964
2011-04-05 07:00:00,2313.32036664,2313.32036664,2294.49193665,2299.05039865
2011-04-06 07:00:00,2302.22150265,2326.59936464,2301.82511465,2315.30230664
2011-04-07 07:00:00,2300.83414465,2314.99320328,2291.12263866,2295.87929465
